Name or Synonym,RID
Gadolinium-labeled dextran,RID11663
Chromium-labeled red blood cells,RID11664
tumor-specific agent,RID11666
monoclonal antibody,RID11667
metalloporphyrin,RID11669
Manganese (III)TPPS4,RID11670
nitroxide,RID11672
nitroxide stable free radicals,RID11673
ferrioxamine,RID11675
ferrioxamine methanesulfonate,RID11676
hepatobiliary contrast agent,RID11677
Manganese chloride,RID11678
hepatobiliary chelate,RID11680
Fe-EHPG,RID11681
Chromium diethyl HIDA meglumine,RID11683
B-19036,RID11685
Manganese(II)-dipyridoxal diphosphate,RID11686
reticuloendothelial contrast agent,RID11688
Gadolinium oxide,RID11689
liposome,RID11690
radiopharmaceutical,RID11692
radioisotope,RID11695
investigational,RID11697
Carbon-14 urea,RID11698
Cobalt-57 cyanocobalamin,RID11699
Chromium-51 sodium chromate,RID11700
Fluorine-18 fluorodeoxyglucose,RID11701
Gallium-67,RID11703
Indium-111 chloride,RID11704
Indium-111 pentetate,RID11705
Indium-111 oxyquinoline,RID11707
Indium-111 capromab pendetide,RID11708
Indium-111 Imciromab pentetate,RID11709
Indium-111 pentetreotide,RID11710
Indium-111 satumomab pendetide,RID11711
I-123 sodium iodide,RID11712
I-125 iothalamate,RID11713
I-125 human serum albumin,RID11714
I-131sodium iodide,RID11716
Tositumomab & Iodine I 131 Tositumomab,RID11717
I-131 iodomethylnorcholesterol,RID11718
I-131 metaiodobenzylguanidine,RID11720
P-32 chromic phosphate,RID11722
P-32 sodium phosphate,RID11723
Rubidium-82,RID11724
Samarium-153 Lexidronam,RID11725
Strontium-89,RID11727
Tc-99m pertechnetate,RID11728
Tc-99m apcitide,RID11729
Tc-99m arcitumomab,RID11730
Tc-99m bicisate,RID11731
Tc-99m disofenin,RID11732
Tc-99m exametazine,RID11733
Tc-99m gluceptate,RID11734
Tc-99m human Serum Albumin,RID11735
Tc-99m fanolesomab,RID11736
Tc-99m macroaggregated albumin,RID11737
Tc-99m mebrofenin,RID11738
Tc-99m mertiatide,RID11741
Tc-99m nofetumomab Merpentan,RID11742
Tc-99m oxidronate,RID11743
Tc-99m Pyrophosphate,RID11745
Tc-99m red blood cells,RID11747
Tc-99m sestamibi,RID11749
Tc-99m succimer,RID11750
Tc-99m sulfur colloid,RID11751
Tc-99m tetrofosmin,RID11752
Thallium-201,RID11753
Y-90 ibitumomab tiuxetan,RID11754
Xenon-133,RID11755
chemical element,RID11756
hydrogen,RID11762
helium,RID11764
lithium,RID11766
beryllium,RID11768
boron,RID11770
carbon,RID11772
nitrogen,RID11774
oxygen,RID11776
fluorine,RID11778
neon,RID11780
sodium,RID11782
magnesium,RID11784
aluminum,RID11786
silicon,RID11788
phosphorus,RID11790
sulfur,RID11792
chlorine,RID11794
argon,RID11796
potassium,RID11798
calcium,RID11800
scandium,RID11802
titanium,RID11804
vanadium,RID11806
chromium,RID11808
manganese,RID11810
iron,RID11812
cobalt,RID11814
nickel,RID11816
copper,RID11818
zinc,RID11820
gallium,RID11822
germanium,RID11824
arsenic,RID11826
selenium,RID11828
bromine,RID11830
krypton,RID11832
rubidium,RID11834
strontium,RID11836
yttrium,RID11838
zirconium,RID11840
niobium,RID11842
molybdenum,RID11844
technetium,RID11846
ruthenium,RID11848
rhodium,RID11850
palladium,RID11852
silver,RID11854
cadmium,RID11856
indium,RID11858
tin,RID11860
antimony,RID11862
tellurium,RID11864
iodine,RID11866
xenon,RID11868
cesium,RID11870
barium,RID11872
lanthanum,RID11874
cerium,RID11876
praseodymium,RID11878
neodymium,RID11880
promethium,RID11882
samarium,RID11884
europium,RID11886
gadolinium,RID11888
terbium,RID11890
dysprosium,RID11892
holmium,RID11894
erbium,RID11896
thulium,RID11898
ytterbium,RID11900
lutetium,RID11902
hafnium,RID11904
tantalum,RID11906
tungsten,RID11908
rhenium,RID11910
osmium,RID11912
iridium,RID11914
gold,RID11918
mercury,RID11920
thallium,RID11922
lead,RID11924
bismuth,RID11926
polonium,RID11928
astatine,RID11930
radon,RID11932
francium,RID11934
radium,RID11936
actinium,RID11938
thorium,RID11940
protactinium,RID11942
uranium,RID11944
neptunium,RID11946
plutonium,RID11948
americium,RID11950
curium,RID11952
berkelium,RID11954
californium,RID11956
einsteinium,RID11958
fermium,RID11960
mendelevium,RID11962
nobelium,RID11964
lawrencium,RID11966
rutherfordium,RID11968
dubnium,RID11970
seaborgium,RID11972
bohrium,RID11974
hassium,RID11976
meitnerium,RID11978
darmstadtium,RID11980
roentgenium,RID11982
ununbium,RID11984
ununtrium,RID11986
ununquadium,RID11988
ununpentium,RID11990
ununhexium,RID11992
ununseptium,RID11994
ununoctium,RID11996
diagnostic quality,RID12
tube potential,RID12244
subjective focal-spot size,RID12248
target angle,RID12249
source-to-image distance,RID12258
source-to-object distance,RID12262
object-to-image distance,RID12264
source-to-skin distance,RID12266
image hold,RID12289
spot image,RID12290
video image acquisition,RID12291
image overlay,RID12293
roadmap image,RID12294
table steps,RID12297
planar revolutional angiography mode,RID12304
CT revolutional angiography mode,RID12305
3D revolutional angiography mode,RID12306
scanner generation,RID12308
continuously rotating tube CT,RID12309
first generation CT device,RID12312
second generation CT device,RID12314
third generation CT device,RID12315
fourth generation CT device,RID12316
detector type,RID12318
detector motion mode,RID12319
radiation source quantity,RID12320
single source,RID12321
dual source,RID12322
multi-source,RID12323
radiation source motion mode,RID12324
CT source-isocenter distance,RID12325
CT source-detector distance,RID12327
CT fan-beam angle,RID12329
CT scan field of view,RID12330
CT bore size,RID12331
CT x-ray beam shaping filter,RID12332
head filter,RID12333
body filter,RID12334
cardiac filter,RID12335
pediatric filter,RID12336
scan mode,RID12337
gantry tilt angle,RID12343
tube current-time product,RID12344
CT scanning direction,RID12348
linear attenuation coefficient,RID12350
fixed tube current,RID12351
automatic exposure control method,RID12352
acquisition field of view,RID12355
acquisition duration,RID12356
volume CT dose index,RID12357
CT dose length product,RID12359
scan trigger,RID12361
table speed,RID12366
effective mAs,RID12370
beam collimation,RID12372
table-gantry translation rate,RID12377
beam pitch,RID12382
data-acquisition period,RID12389
non-data-acquisition period,RID12390
scan increment,RID12393
half-scan,RID12395
section thickness,RID12398
section gap,RID12402
section interval,RID12405
second tube potential,RID12410
low-energy scan,RID12411
high-energy scan,RID12412
intermittent exposure,RID12416
continuous exposure,RID12418
pulse sequence,RID12442
b-value,RID12451
k-space dimensionality,RID12453
inversion time,RID12458
echo time,RID12463
bandwidth,RID12468
flip angle,RID12470
frequency matrix,RID12471
phase matrix,RID12472
multi-element transducer,RID12494
single-element transducer,RID12496
clinical transducer,RID12502
molecular imaging,RID12508
whole-body detector head position,RID12520
fixed detector head position,RID12521
variable detector head position,RID12522
at rest,RID12535
during symptoms,RID12536
low collimator energy rating,RID12545
medium collimator energy rating,RID12546
high collimator energy rating,RID12547
ultra-high collimator energy rating,RID12548
continuous table to detector-head translation,RID12553
discrete table to detector-head translation,RID12554
step and shoot data acquisition mode,RID12564
continuous data acquisition mode,RID12565
elliptical SPECT arc,RID12581
contoured SPECT arc,RID12582
circular SPECT arc,RID12583
image processing procedure step,RID12633
primary reconstruction step,RID12634
isotropic voxels,RID12645
near-isotropic voxels,RID12646
non-isotropic voxels,RID12647
CT primary reconstruction step,RID12648
MR primary reconstruction step,RID12670
Fourier reconstruction,RID12671
discrete Fourier transform,RID12673
fast Fourier transform,RID12675
non-Cartesian reconstruction,RID12677
gridding,RID12678
filtered-backprojection,RID12680
magnitude reconstruction,RID12681
phase reconstruction,RID12683
phase difference reconstruction,RID12685
phase unwrapping,RID12686
real-time image reconstruction,RID12687
single-channel coil reconstruction,RID12688
multiple coil reconstruction,RID12689
parallel imaging reconstruction,RID12691
k-space-based parallel imaging reconstruction,RID12692
GRAPPA reconstruction,RID12693
SMASH reconstruction,RID12694
image-based parallel imaging reconstruction,RID12695
SENSE reconstruction,RID12696
diffusion-weighted image reconstruction,RID12697
apparent diffusion coefficient map,RID12698
diffusion tensor reconstruction,RID12700
fractional anisotropy map,RID12701
relative anisotropy map,RID12703
tractography,RID12705
perfusion image reconstruction,RID12706
cerebral blood flow map,RID12707
mean transit time map,RID12709
MR reconstruction filtering,RID12711
k-space filtering,RID12712
image-based filtering,RID12714
surface coil intensity correction,RID12715
gradient nonlinearity correction,RID12716
interpolation,RID12719
zero-filling,RID12720
between sections interpolation,RID12722
zero-filling of 3D volume k-space data,RID12723
in-plane filtering,RID12724
partial Fourier reconstruction,RID12726
iterative partial Fourier reconstruction,RID12728
projection onto convex sets,RID12729
non-iterative partial Fourier reconstruction,RID12731
homodyne,RID12732
artifact correction technique,RID12733
retrospective motion correction,RID12734
periodically rotated overlapping parallel lines with enhanced reconstruction,RID12735
view-sharing,RID12738
sliding window reconstruction,RID12739
keyhole,RID12740
TRICKS,RID12741
BRISK,RID12742
multiple acquisition reconstruction procedure step,RID12744
image fusion,RID12749
hardware image fusion,RID12750
hardware image fusion with reregistration,RID12751
software image fusion,RID12752
computed imaging,RID12753
parametric mapping,RID12755
subtraction imaging,RID12756
reformat procedure step,RID12757
intensity projection,RID12760
maximum intensity projection,RID12762
minimum intensity projection,RID12764
average intensity projection,RID12766
ray sum,RID12768
volume rendering,RID12769
curved planar reformation,RID12772
shaded surface display,RID12773
image segmentation,RID12775
image registration,RID12776
motion correction,RID12777
region of interest editing,RID12778
calculation,RID12780
region of interest calculation,RID12781
FDG-PET standardized update value,RID12782
Hounsfield unit calculation,RID12784
signal intensity calculation,RID12785
counts per pixel calculation,RID12786
time-activity curve,RID12787
physiologic modeling,RID12788
line profile curve,RID12789
quantitation,RID12790
measured attenuation correction method,RID12791
calculated attenuation correction method,RID12792
filtering,RID12793
smoothing,RID12794
temporal smoothing,RID12795
spatial smoothing,RID12796
power injector,RID12806
pump injector,RID12807
gravity injector,RID12808
manual injection,RID12809
drip infusion,RID12814
bolus infusion,RID12815
IV push infusion,RID12816
positive bowel contrast,RID12842
negative bowel contrast,RID12843
bevel needle tip,RID12871
diamond needle tip,RID12872
serrated needle tip,RID12873
angled wire tip,RID12880
J wire tip,RID12881
straight wire tip,RID12882
shapeable wire tip,RID12883
steerable wire tip,RID12884
infusible wire,RID12886
non-infusible wire,RID12887
hemostatic sheath,RID12889
peel away sheath,RID12890
straight sheath,RID12894
curved sheath,RID12895
hydrophilic dilator,RID12899
nonhydrophilic dilator,RID12900
dilation procedure type,RID12909
balloon type,RID12910
balloon length,RID12912
balloon material,RID12913
balloon pressure type,RID12914
inflation pressure,RID12915
inflation duration,RID12916
deployment technique,RID12917
diameter of balloon catheter lumen,RID12918
qualitative diameter of balloon catheter lumen,RID12919
basket retrieval,RID12925
forceps retrieval,RID12926
snare retrieval,RID12927
core needle,RID12932
fine-needle aspiration,RID12933
biopsy brush,RID12934
forceps,RID12935
drainage device,RID12939
stasis of flow,RID12948
slow flow,RID12949
proximal embolization,RID12952
distal embolization,RID12953
empiric reconstitution method,RID12957
weight-based reconstitution method,RID12958
iodized oil,RID12959
radiation dose,RID12963
electrode applicator,RID12973
antenna applicator,RID12974
fiber applicator,RID12975
cryoprobe applicator,RID12976
straight single applicator,RID12978
